P1: s=17 a=396
P2: s=152 a=28
P3: s=356 a=87
P4: s=311 a=291
P5: s=18 a=339
P6: s=23 a=272
P7: s=13 a=191
P8: s=356 a=383
P9: s=155 a=308
P10: s=18 a=49
P11: s=249 a=216
P12: s=142 a=73
P13: s=98 a=370
P14: s=324 a=139
P15: s=48 a=142
P16: s=386 a=54
P17: s=50 a=51
P18: s=349 a=207
P19: s=398 a=244
P20: s=99 a=32
P21: s=233 a=68
P22: s=33 a=353
P23: s=389 a=285
P24: s=294 a=214
P25: s=106 a=290
P26: s=295 a=280
P27: s=105 a=371
P28: s=20 a=281
P29: s=28 a=241
P30: s=395 a=306
P31: s=146 a=275
P32: s=332 a=95
P33: s=170 a=121
P34: s=301 a=110
P35: s=45 a=271
P36: s=254 a=179
P37: s=177 a=116
P38: s=383 a=48
P39: s=219 a=219
P40: s=273 a=307
P41: s=133 a=65
P42: s=75 a=288
P43: s=176 a=337
P44: s=318 a=305
P45: s=347 a=356
P46: s=283 a=347
P47: s=21 a=29
P48: s=259 a=339
P49: s=48 a=276
P50: s=143 a=225
P51: s=23 a=289
P52: s=370 a=308
P53: s=257 a=236
P54: s=395 a=358
P55: s=182 a=290
P56: s=383 a=384
P57: s=241 a=219
P58: s=390 a=145
P59: s=151 a=201
P60: s=21 a=107
P61: s=151 a=259
P62: s=92 a=271
P63: s=98 a=83
P64: s=65 a=107
P65: s=125 a=45
P66: s=109 a=49
P67: s=117 a=226
P68: s=85 a=57
P69: s=354 a=196
P70: s=156 a=393
P71: s=79 a=26
P72: s=199 a=165
P73: s=377 a=86
P74: s=177 a=306
P75: s=309 a=293
P76: s=192 a=207
P77: s=407 a=278
P78: s=295 a=261
P79: s=225 a=287
P80: s=333 a=46
P81: s=185 a=76
P82: s=366 a=21
P83: s=334 a=74
P84: s=225 a=28
P85: s=124 a=387
P86: s=186 a=180
P87: s=205 a=27
P88: s=177 a=392
P89: s=226 a=58
P90: s=130 a=299
P91: s=387 a=107
P92: s=310 a=83
P93: s=260 a=229
P94: s=258 a=214
P95: s=73 a=55
P96: s=191 a=164
P97: s=251 a=169
P98: s=10 a=197
P99: s=107 a=96
P100: s=92 a=117
